Accession Number,Entrez Definition,Intensity in Tumor,Intensity in Normal,Ratio Normal:Tumor,p
X53416,Human mRNA for actin-binding protein (filamin) (ABP-280),10.0,769.7,77.0,0.0000
M83670,"Human carbonic anhydrase IV mRNA, complete cds",10.0,378.9,37.9,0.0000
M97496,"Homo sapiens guanylin mRNA, complete cds",53.6,1082.9,20.2,0.0000
U37019,"Human smooth muscle cell calponin mRNA, complete cds",40.0,693.7,17.3,0.0000
R48602,Homo sapiens cDNA clone 153625 3' similar to SP:T15B12.1 CE01403 ACTIN BINDING ;,18.4,261.9,14.3,0.0000
T96548," Homo sapiens cDNA clone 121103 3' similar to gb:X16940 ACTIN, GAMMA-ENTERIC SMOOTH MUSCLE (HUMAN);",85.7,1202.8,14.0,0.0000
X64559,H.sapiens mRNA for tetranectin,10.0,137.8,13.8,0.0000
T55741,Homo sapiens cDNA clone 73645 3' similar to SP:TELO_RABIT P29294,10.0,133.8,13.4,0.0000
T54547, Homo sapiens cDNA clone 73685 3' similar to gb:M84526 COMPLEMENT FACTOR D PRECURSOR (HUMAN),10.0,119.9,12.0,0.0000
M95936,"Human protein-serine/threonine (AKT2) mRNA, complete cds",10.0,113.5,11.4,0.0000
X54162,Human mRNA for a 64 Kd autoantigen expressed in thyroid and extra-ocular muscle,10.0,101.8,10.2,0.0000
H57136, Homo sapiens cDNA clone 204686 3' similar to SP:A40533 A40533 CAMP-DEPENDENT PROTEIN KINASE MAJOR MEMBRANE SUBSTRATE PRECURSOR - ;,10.0,99.6,10.0,0.0000
T55200, Homo sapiens cDNA clone 73959 3' similar to gb:M10942_cds1 Human metallothionein-Ie gene (HUMAN),10.0,84.0,8.4,0.0000
T46924, Homo sapiens cDNA clone 70827 3' similar to gb:U11863 AMILORIDE-SENSITIVE AMINE OXIDASE (HUMAN),15.1,124.0,8.2,0.0001
L11708,"Human 17 beta hydroxysteroid dehydrogenase type 2 mRNA, complete cds",16.6,134.6,8.1,0.0000
T46933, Homo sapiens cDNA clone 70843 3',11.2,84.9,7.6,0.0006
H54425, Homo sapiens cDNA clone 203126 3' similar to gb:M10942_cds1 Human metallothionein-Ie gene (HUMAN);,18.2,135.5,7.4,0.0001
M76378,"Human cysteine-rich protein (CRP) gene, exons 5 and 6",66.5,493.4,7.4,0.0002
M26393,"Human short chain acyl-CoA dehydrogenase mRNA, complete cds",10.0,71.8,7.2,0.0000
M82962,"Human N-benzoyl-L-tyrosyl-p-amino-benzoic acid hydrolase alpha subunit (PPH alpha) mRNA, complete cds",10.0,71.3,7.1,0.0077
X53416,Human mRNA for actin-binding protein (filamin) (ABP-280),125.6,858.3,6.8,0.0000
M63391,"Human desmin gene, complete cds",140.9,955.5,6.8,0.0000
M63603,"Human phospholamban mRNA, complete cds",18.9,126.2,6.7,0.0000
M95787,"Human 22kDa smooth muscle protein (SM22) mRNA, complete cds",123.6,810.8,6.6,0.0000
J03037,"Human carbonic anhydrase II mRNA, complete cds",10.0,65.1,6.5,0.0000
J02854,"Human 20-kDa myosin light chain (MLC-2) mRNA, complete cds",56.9,369.1,6.5,0.0000
M83186,"Human cytochrome c oxidase subunit VIIa (COX7A) muscle isoform mRNA, complete cds",10.0,63.9,6.4,0.0030
T72257, Homo sapiens cDNA clone 85578 3' similar to gb:L07765 LIVER CARBOXYLESTERASE PRECURSOR (HUMAN);,10.0,63.1,6.3,0.0006
M84526,"Human adipsin/complement factor D mRNA, complete cds",43.9,260.4,5.9,0.0000
T76971,Homo sapiens cDNA clone 113739 3' similar to gb:X64177 H.sapiens mRNA for metallothionein (HUMAN);,38.3,217.7,5.7,0.0000
