"ID_REF"	"GSM887"	"GSM888"	"GSM889"	"GSM890"	"GSM891"	"GSM892"	"GSM893"
1	.143	.165	-.211	.272	.046	.429	.183
2	.111	.101	-.14	.237	-.109	.149	.252
3	.072	.15	.115	.469	-.015	.144	.215
4	-2.392	-1.193			-.963	-.51	-.939
5	-1.277	-.741	-.194	.227	-.986	-.048	
6	.404	-.351	.32	.425	-.574	-.522	.249
7	-.659	.272	-.009	.825	.544	.353	.545
8	-.246	-.131	.478	1.699	-.026	.365	.435
9					-.688	.008	
10	-.427				-3.841	.312	0
11	-.939				-1	-.024	
12	-.255	1.858			-.591	-.907	
13	-.003	.224	-1.357	.367	.312	.014	-.811
14	.458	.002	-.136	.634	.31	.441	.275
15	-.215	-1.07	1.741	-.514	-.22	-.012	4.239
16	.034	.09	.148	.884	.165	.199	.935
17	.271	-.046	.488	.635	.194	.291	.533
18	.447	.162	1.541	.159	.609	.481	1.449
19	-.001	-.013	.14	.88	-.009	.144	.192
